article_id,source,title,url,extracted_at_utc,query,media_cloud_story_count,media_cloud_matched_story_count,media_cloud_unique_hosts,media_cloud_story_ids,status
cdfa30d1-a80d-41ff-89b0-eb99ad41dfcf,The Fulton Sun,Changing face of college football results in blue-chip prospects making some surprising choices,https://www.fultonsun.com/news/2025/dec/05/changing-face-of-college-football-results-in-blue,2025-12-05T13:46:42.845145+00:00,"""Changing face of college football results in blue-chip prospects making some surprising choices""",14,14,inquirer.com|gorgenewscenter.com|wvnews.com|eastidahonews.com|hindustantimes.com,1fd0a0ab8fd5ecef3f15607407b6b7db93d0262b86d47f61c3de983d1ae27495|8e976f5d5d4ce0beb3c7d8f602a07c1609801d2b52a9f97177c794de3d740e54|d6e333f99094abec3ff8259055bd7fe6f744e1c356e8884ae6a3e709cc925075|94b15fb28eb9b2a9490235f4ee2465baa45a41931cd00d6c6e51850abbab7cca|ada47a730095a6e762fe625e850a4624100e400ac18c7d7be8f255b8deff76f5|55447d87c5f1b87daae14ac62979fe90cfc1b15d75b098dcc06e8d145dd61e60|2309ff6a5e08046c86add2a3ab9d38660da43d97aeb93a86ec839ae391c25926|4ea542219468352fedb44377523d2bbdd7e6adc331d2a68ac16a9344328d0c75|d5622873a226a94537e1f27eaf270ae9f573b5dcd47eaad7b497d15fa923419f|ec13374d611f4818e9b917b49d65914c07f8ab175e89ad00b3e509c7b688cfa5|344944440f69252a563863dd44b2065372712cf48b9b8e5320bf7e56b36fca99|794de511a343cad9ec5448402899a192bc1497f84c27934495de763f709f85e2|7995d1d801bb26928cfbf97e5149c32daeab6d0d0fcda662afa17f9d1aee97a5|4198be12da02a0b3ebc2ad0b43a18209ad11f11fdbfefe1cacb1217cca85c29a,ok
3fce1738-868c-431c-9325-86d708862c45,The Kansas City Globe,"Victims say Kansas City, Kansas, Hasn’t Delivered Justice",https://www.thekansascityglobe.com/news/victims-say-kansas-city-kansas-hasnt-delivered-justice,2025-12-05T07:55:24.311782+00:00,"""Victims say Kansas City, Kansas, Hasn’t Delivered Justice""",0,0,,,ok
87e4b94d-7e07-40d1-891e-156f486dd298,The Kansas City Star,Layoffs rock nonprofit running Kansas City’s LGBTQ+ youth homeless shelter,https://www.kansascity.com/news/local/article313102695.html,2025-12-05T15:26:08.926078+00:00,"""Layoffs rock nonprofit running Kansas City’s LGBTQ+ youth homeless shelter""",0,0,,,ok
9e11eb02-4271-44ea-b74f-fe14c1222eb4,The Kansas City Star,KC seafood restaurant closing location. ‘Beyond grateful for every guest’,https://www.kansascity.com/news/business/openings-closings/article313400292.html,2025-12-05T02:05:12.115049+00:00,"""KC seafood restaurant closing location. ‘Beyond grateful for every guest’""",0,0,,,ok
2b94554d-830a-42c7-b05c-90cb4c07f741,The Kansas City Star,Massive putt-putt restaurant opening soon in Johnson County. Look inside,https://www.kansascity.com/news/business/openings-closings/article313104376.html,2025-12-05T02:04:09.624496+00:00,"""Massive putt-putt restaurant opening soon in Johnson County. Look inside""",0,0,,,ok
40f30696-0d33-4c0c-9f67-f6b292f3cf98,The Maryville Daily Forum,Jimmy Kimmel Thanks Trump for Helping Him Become 2025’s ‘3rd Most Trending Person in the World’,https://www.maryvilleforum.com/news/state_news/jimmy-kimmel-thanks-trump-for-helping-him-become-2025-s-3rd-most-trending-person-in/article_b7302ccc-14d5-5433-a63d-97c4a4eaf351.html,2025-12-05T14:00:39.317617+00:00,"""Jimmy Kimmel Thanks Trump for Helping Him Become 2025’s ‘3rd Most Trending Person in the World’""",5,5,insidenova.com|kdhnews.com,6993fcf47efdc2ad2d780afb24e0aa4d8914b9be707c4c4c5ee72d43fe75e85d|89d51bfd006695e499250495fe3cbabc321c713589a973eec50edb6e7c71b175|04c8220e049daac43d954fc9b30e9c34d8e4f763a94903bef6837db1da9d7283|30c9e7532511b271670e8200242c9565183785fb4d23ed2175bcaaa7f1a01f7d|87e0e41d111bd1c033f7bb8cbdd81166e05d4ef070e9a965a395b908e890d9c8,ok
7b72e522-4680-4acf-ad9c-807a8c802594,The Maryville Daily Forum,‘Stranger Things’: Inside Dustin’s Eddie Munson-Inspired Season 5 Transformation,https://www.maryvilleforum.com/news/state_news/stranger-things-inside-dustin-s-eddie-munson-inspired-season-5-transformation/article_0499dfe7-6167-5fcd-932f-4bf53e0cac33.html,2025-12-05T02:24:07.851380+00:00,"""‘Stranger Things’: Inside Dustin’s Eddie Munson-Inspired Season 5 Transformation""",2,2,insidenova.com|kdhnews.com,15ff62a1898fbd949c573ec1565e5ec7e61325014b05768b37e14392527bea36|ec260dcad0d7d1230852701a04b96d938ad8c03fac9b23b3aae7eae5413c9084,ok
315eaebb-622b-4d8d-9818-081d24fb5a64,The Maryville Daily Forum,Behind the Scenes of ‘Prehistoric Planet: Ice Age’: How Apple TV Uses Puppetry to Blend Practical and Visual Effects,https://www.maryvilleforum.com/news/state_news/behind-the-scenes-of-prehistoric-planet-ice-age-how-apple-tv-uses-puppetry-to-blend/article_0bfdb441-fdbb-5834-b1ca-361524a3bc66.html,2025-12-05T02:21:19.907773+00:00,"""Behind the Scenes of ‘Prehistoric Planet: Ice Age’: How Apple TV Uses Puppetry to Blend Practical and Visual Effects""",4,4,insidenova.com|kdhnews.com,60f970dd2df8860f62c359946f2090ed53e98926b031ec3217533b37136b4ffd|15ff62a1898fbd949c573ec1565e5ec7e61325014b05768b37e14392527bea36|c47f67fe7a915f7bbf921b87872bdba2c60ae952f81b0d1899abfb356df209fb|ec260dcad0d7d1230852701a04b96d938ad8c03fac9b23b3aae7eae5413c9084,ok
35304dc4-5d4a-40d3-abdb-0b3f76e0543b,The Mexico Ledger,Mexico boys soccer seniors close high school careers with awards,"https://mexicoledger.com/stories/mexico-boys-soccer-seniors-close-high-school-with-awards,144680",2025-12-05T14:29:52.488684+00:00,"""Mexico boys soccer seniors close high school careers with awards""",0,0,,,ok
5a0a0837-3d98-4ec1-aaab-ed56b9ba8517,The Milan Standard,www.themilanstandard.com,https://www.themilanstandard.com/2025/12/04/outdoors-with-kevin-fox-what-would-your-choices-be,2025-12-05T14:18:45.048024+00:00,"""www.themilanstandard.com""",0,0,,,ok
